DATE,MARKET,VENDOR,BAND,Cell Traffic (kbytes),Cell Used PRB,Cell Spectral Efficiency (bps/Hz),UE Traffic (kbytes),UE Active Time (s),UE Tput (kbps),Total cell count,Total Spectrum in MHz
07/01/2017,Wyoming,ALU,AWS,3.202813178E10,6.53207330490368E11,2.1792047595163133,2.221791252992175E10,3.6111279724000014E7,4922.099177815721,304,1520
07/01/2017,Philadelphia-PART,ALU,1900,5.8716723E8,2.2824008821760002E10,1.1433715057301226,3.2924830719949996E8,1348373.1369999999,1953.455156675967,3,60
07/08/2017,NYC West,ALU,AWS,6.3622117199E10,1.9263950907566082E12,1.4678451304494893,4.539878513766626E10,5.023125794599999E7,7230.364039295409,248,2480
07/08/2017,Nebraska,ALU,850,1.846274679E9,3.9069011208192E10,2.100300208846707,1.284412536832E9,1823140.0569999996,5636.0454893213955,36,180
07/22/2017,Utah,ALU,1900,2.91456215475E11,1.0888577321141248E13,1.1896512459452306,2.0000564019816745E11,2.4343625831799993E8,6572.747760094169,897,16090
07/29/2017,Maryland,ALU,2300,6.8658121141E10,2.278363046545408E12,1.3393265201250246,4.912365072281299E10,4.051745159300001E7,9699.25773540996,484,4840
07/08/2017,Philadelphia,ALU,700,5.23046736771E11,1.9262440034212863E13,1.2068316159830998,3.727770268835861E11,6.530043685359999E8,4566.916178148478,3731,37310
07/15/2017,New Mexico,ALU,1900,1.02416008275E11,3.3234279580119043E12,1.3696167473787908,5.785226053938502E10,4.739849168200001E7,9764.405319480647,446,8645
07/29/2017,Colorado,ALU,850,1.81578804E9,3.3289410596864002E10,2.424245104365684,1.2413313576950002E9,1648178.204,6025.228848105798,27,135
07/08/2017,Northern MI,ALU,1900,8.073391888E10,2.252319200002048E12,1.5931019779262112,3.8823130773502754E10,3.1660125755999986E7,9809.975127125397,475,6995
07/08/2017,Northern MI,ALU,AWS,1.09174449745E11,2.88436856172544E12,1.6822391669467656,6.385818816205026E10,6.2665994214000024E7,8152.196605256622,721,7270
07/08/2017,Idaho,ALU,2300,3.05794374E9,2.32220186092544E11,0.5852575219817652,1.877237879807751E9,843065.8989999999,17813.439087354203,92,920
07/22/2017,Southern OH,ALU,700,6.11531075055E11,2.185426873544704E13,1.2436544649626946,4.290868136529744E11,8.799209734680003E8,3901.139548583144,2807,27365
07/22/2017,Colorado,ALU,1900,2.66330426938E11,9.262637007228928E12,1.2779198682484394,1.6987998658253207E11,2.0461680474699998E8,6641.878189529212,1014,15295
07/29/2017,NYC East,ALU,2300,1.58233535839E11,9.631900006652928E12,0.730136482727904,1.0663490359808179E11,8.772471379799983E7,9724.502843622899,1907,19070
07/29/2017,Iowa-PART,ALU,700,2.117213881E9,4.4231605083136E10,2.1274017647392047,1.291388056576E9,1955625.0760000001,5282.76333710092,48,240
08/05/2017,Montana,ALU,850,2.586068798E9,4.8773002759168E10,2.3565576142555074,1.53404394086525E9,1817947.6659999997,6750.662715129008,33,165
